dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,speed_avg,average_error,average_error_normal
SP_C_F_CCW_1,SP_C,F,CCW,1,2.5hz,1,CTRV,True,23.63290475515209,0.754487566240993
SP_C_F_CCW_1,SP_C,F,CCW,1,10hz,1,CTRV,True,9.866205907719147,1.5282094823171828
CP_C_F_CW_1,CP_C,F,CW,1,full,1,CTRV,True,5.517244038701371,1.8134691279281725
CP_C_F_CW_1,CP_C,F,CW,1,2.5hz,1,CTRV,True,22.57659997709588,0.6825079096033433
CP_C_F_CW_1,CP_C,F,CW,1,10hz,1,CTRV,True,12.605060997736912,1.4598146524030804
CP_C_F_CCW_1,CP_C,F,CCW,1,full,1,CTRV,True,4.8340524047105164,1.5863362158650858
CP_C_F_CCW_1,CP_C,F,CCW,1,2.5hz,1,CTRV,True,23.839219371693847,0.8316356789196495
CP_C_F_CCW_1,CP_C,F,CCW,1,10hz,1,CTRV,True,11.25739557271081,2.039125386878474
CP_C_F_CCW_111,CP_C,F,CCW,111,full,1,CTRV,True,4.8340524047105164,1.5863362158650858
CP_C_F_CCW_111,CP_C,F,CCW,111,2.5hz,1,CTRV,True,44.40103539841663,0.5934798908174039
CP_C_F_CCW_111,CP_C,F,CCW,111,10hz,1,CTRV,True,11.25739557271081,2.039125386878474
CP_C_A_CCW_3,CP_C,A,CCW,3,full,1,CTRV,True,5.4092540529839255,1.269986533084538
CP_C_A_CCW_3,CP_C,A,CCW,3,2.5hz,1,CTRV,True,36.885885557998364,0.6105552684164673
CP_C_A_CCW_3,CP_C,A,CCW,3,10hz,1,CTRV,True,12.222583716200756,1.2969947015349017
CP_C_A_CCW_1,CP_C,A,CCW,1,full,1,CTRV,True,6.2666748480574235,1.6387446377384696
CP_C_A_CCW_1,CP_C,A,CCW,1,2.5hz,1,CTRV,True,22.927546439646125,0.5650075607927366
CP_C_A_CCW_1,CP_C,A,CCW,1,10hz,1,CTRV,True,10.648779819017241,1.5821684293013119
CP_C_F_CW_4,CP_C,F,CW,4,full,1,CTRV,True,4.848532159537823,1.439187168305841
CP_C_F_CW_4,CP_C,F,CW,4,2.5hz,1,CTRV,True,24.190936406794684,0.6106049847065631
CP_C_F_CW_4,CP_C,F,CW,4,10hz,1,CTRV,True,13.457456292263155,2.3299895419694163
CP_C_F_CW_3,CP_C,F,CW,3,full,1,CTRV,True,4.902812617577098,1.577681929908723
CP_C_F_CW_3,CP_C,F,CW,3,2.5hz,1,CTRV,True,21.045529094362724,0.6007332199131099
CP_C_F_CW_3,CP_C,F,CW,3,10hz,1,CTRV,True,11.243868806398767,1.6213633314568163
CP_C_F_CW_2,CP_C,F,CW,2,full,1,CTRV,True,5.924245072139144,1.7321507571375856
CP_C_F_CW_2,CP_C,F,CW,2,2.5hz,1,CTRV,True,20.106996617045546,0.45728366899535533
CP_C_F_CW_2,CP_C,F,CW,2,10hz,1,CTRV,True,13.181254821139305,1.6766281671487755
CP_C_A_CW_2,CP_C,A,CW,2,full,1,CTRV,True,6.150447855200776,1.6300836217294723
CP_C_A_CW_2,CP_C,A,CW,2,2.5hz,1,CTRV,True,27.828466441505984,0.5831068370093182
CP_C_A_CW_2,CP_C,A,CW,2,10hz,1,CTRV,True,14.027370487639933,1.546973348269294
CP_C_A_CW_3,CP_C,A,CW,3,full,1,CTRV,True,5.581510034625477,1.3772024664667155
CP_C_A_CW_3,CP_C,A,CW,3,2.5hz,1,CTRV,True,21.22158403387796,0.4219451392555082
CP_C_A_CW_3,CP_C,A,CW,3,10hz,1,CTRV,True,13.329089667261911,1.2773387004308054
CP_C_A_CCW_2,CP_C,A,CCW,2,full,1,CTRV,True,6.278666022395028,1.3927133395758344
CP_C_A_CCW_2,CP_C,A,CCW,2,2.5hz,1,CTRV,True,24.033815593033626,0.4607541609967559
CP_C_A_CCW_2,CP_C,A,CCW,2,10hz,1,CTRV,True,14.085911921144532,1.8296619915689178
CP_C_F_CCW_2,CP_C,F,CCW,2,full,1,CTRV,True,4.281132479115422,1.433466247476889
CP_C_F_CCW_2,CP_C,F,CCW,2,2.5hz,1,CTRV,True,23.470836551411853,0.8735543380957905
CP_C_F_CCW_2,CP_C,F,CCW,2,10hz,1,CTRV,True,10.846502795446074,1.640277615136605
CP_C_F_CCW_3,CP_C,F,CCW,3,full,1,CTRV,True,4.791562696154013,1.1713465399580376
CP_C_F_CCW_3,CP_C,F,CCW,3,2.5hz,1,CTRV,True,32.95260347448189,0.6786783619917922
CP_C_F_CCW_3,CP_C,F,CCW,3,10hz,1,CTRV,True,11.279539784846689,1.6574822993752967
CP_C_A_CW_1,CP_C,A,CW,1,full,1,CTRV,True,5.686546873531977,1.544942062894436
CP_C_A_CW_1,CP_C,A,CW,1,2.5hz,1,CTRV,True,25.088781979755343,0.5231276483761917
CP_C_A_CW_1,CP_C,A,CW,1,10hz,1,CTRV,True,11.159509846386788,1.5730360466781372
VL_C_F_TD_3,VL_C,F,TD,3,full,1,CTRV,False,4.755857349948127,2.177214849031305
VL_C_F_TD_3,VL_C,F,TD,3,2.5hz,1,CTRV,False,28.60558921955926,0.6627677270779081
VL_C_F_TD_3,VL_C,F,TD,3,10hz,1,CTRV,False,10.435658331013048,1.8672778919678639
VL_C_F_BU_5,VL_C,F,BU,5,full,1,CTRV,False,4.512109727224883,0.9836725648729693
VL_C_F_BU_5,VL_C,F,BU,5,2.5hz,1,CTRV,False,,
VL_C_F_BU_5,VL_C,F,BU,5,10hz,1,CTRV,False,13.459333889851031,1.6191554327510602
VL_C_F_BU_6,VL_C,F,BU,6,full,1,CTRV,False,5.270247750295846,1.4868586235200825
VL_C_F_BU_6,VL_C,F,BU,6,2.5hz,1,CTRV,False,22.27138050717328,0.38904305752414897
VL_C_F_BU_6,VL_C,F,BU,6,10hz,1,CTRV,False,12.618488825036552,3.495351907373882
VL_C_F_TD_5,VL_C,F,TD,5,full,1,CTRV,False,4.298933367184046,4.512429639569128
VL_C_F_TD_5,VL_C,F,TD,5,2.5hz,1,CTRV,False,,
VL_C_F_TD_5,VL_C,F,TD,5,10hz,1,CTRV,False,16.047453816355855,3.512870207037194
VL_C_A_TD_1,VL_C,A,TD,1,full,1,CTRV,False,6.194854625273299,1.6979631784261353
VL_C_A_TD_1,VL_C,A,TD,1,2.5hz,1,CTRV,False,38.65557429618478,0.5563177768558314
VL_C_A_TD_1,VL_C,A,TD,1,10hz,1,CTRV,False,16.18163000878338,3.8804360519947783
VL_C_A_BU_3,VL_C,A,BU,3,full,1,CTRV,False,7.743874699669666,1.9498379579884475
VL_C_A_BU_3,VL_C,A,BU,3,2.5hz,1,CTRV,False,,
VL_C_A_BU_3,VL_C,A,BU,3,10hz,1,CTRV,False,14.776813482208375,0.8430153350437302
VL_C_A_BU_1,VL_C,A,BU,1,full,1,CTRV,False,4.52297120474804,0.9752225490946282
VL_C_A_BU_1,VL_C,A,BU,1,2.5hz,1,CTRV,False,36.93247669577456,0.5192226056430526
VL_C_A_BU_1,VL_C,A,BU,1,10hz,1,CTRV,False,12.745297234616276,1.840450002232502
VL_C_F_TD_2,VL_C,F,TD,2,full,1,CTRV,False,4.127347504281972,1.1786698498355321
VL_C_F_TD_2,VL_C,F,TD,2,2.5hz,1,CTRV,False,35.39044542969608,1.1648863499878312
VL_C_F_TD_2,VL_C,F,TD,2,10hz,1,CTRV,False,9.983584776981038,2.0974301389367147
VL_C_A_TD_3,VL_C,A,TD,3,full,1,CTRV,False,4.862550540952986,1.2194057744267675
VL_C_A_TD_3,VL_C,A,TD,3,2.5hz,1,CTRV,False,21.631165536270675,0.48318539184243364
VL_C_A_TD_3,VL_C,A,TD,3,10hz,1,CTRV,False,12.440954530249819,1.766259262414391
VL_C_F_TD_6,VL_C,F,TD,6,full,1,CTRV,False,3.9586493181041287,2.3934671443414106
VL_C_F_TD_6,VL_C,F,TD,6,2.5hz,1,CTRV,False,21.874020347161032,0.5176376364032048
VL_C_F_TD_6,VL_C,F,TD,6,10hz,1,CTRV,False,9.775832088989366,1.442022385761587
VL_C_F_BU_1,VL_C,F,BU,1,full,1,CTRV,False,4.533647651339514,1.2661048564421833
VL_C_F_BU_1,VL_C,F,BU,1,2.5hz,1,CTRV,False,18.81547336242733,0.43088655817356064
VL_C_F_BU_1,VL_C,F,BU,1,10hz,1,CTRV,False,14.573768098585175,1.729485467104284
VL_C_F_TD_1,VL_C,F,TD,1,full,1,CTRV,False,6.50739290768367,1.550878979452842
VL_C_F_TD_1,VL_C,F,TD,1,2.5hz,1,CTRV,False,7.551971677240783,0.24911778922547254
VL_C_F_TD_1,VL_C,F,TD,1,10hz,1,CTRV,False,12.245552595621126,1.3714885054428771
VL_C_F_TD_4,VL_C,F,TD,4,full,1,CTRV,False,3.5384173625674786,1.3456338682091689
VL_C_F_TD_4,VL_C,F,TD,4,2.5hz,1,CTRV,False,25.961484442685013,1.1548980997342204
VL_C_F_TD_4,VL_C,F,TD,4,10hz,1,CTRV,False,10.489729003200942,1.408446968225247
VL_C_A_TD_2,VL_C,A,TD,2,full,1,CTRV,False,8.822508417967411,1.6386294353517448
VL_C_A_TD_2,VL_C,A,TD,2,2.5hz,1,CTRV,False,,
VL_C_A_TD_2,VL_C,A,TD,2,10hz,1,CTRV,False,14.917383222527553,1.5281001901940103
VL_C_A_BU_2,VL_C,A,BU,2,full,1,CTRV,False,5.874230360024936,0.6913629389175296
VL_C_A_BU_2,VL_C,A,BU,2,2.5hz,1,CTRV,False,,
VL_C_A_BU_2,VL_C,A,BU,2,10hz,1,CTRV,False,11.059738658959889,0.8129596630788083
VL_C_F_BU_4,VL_C,F,BU,4,full,1,CTRV,False,5.885791417835564,1.3724429524406596
VL_C_F_BU_4,VL_C,F,BU,4,2.5hz,1,CTRV,False,,
VL_C_F_BU_4,VL_C,F,BU,4,10hz,1,CTRV,False,15.19986651427871,1.122525376323253
VL_C_F_BU_3,VL_C,F,BU,3,full,1,CTRV,False,4.064267098286108,1.881887400115696
VL_C_F_BU_3,VL_C,F,BU,3,2.5hz,1,CTRV,False,21.90676066229777,0.6672238204854822
VL_C_F_BU_3,VL_C,F,BU,3,10hz,1,CTRV,False,10.528495260475156,1.4514181525434278
VL_C_F_BU_2,VL_C,F,BU,2,full,1,CTRV,False,4.84600038276226,1.6176719332781715
VL_C_F_BU_2,VL_C,F,BU,2,2.5hz,1,CTRV,False,20.855401050257697,0.43609812481342997
