dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,average_error,average_error_normal
VL_C_A_BU_2,VL_C,A,BU,2,10hz,1,CTRV,37.242286328886266,2.0722562910355635
VL_C_F_BU_4,VL_C,F,BU,4,full,1,CTRV,53.04744297555531,13.273622380538148
VL_C_F_BU_4,VL_C,F,BU,4,10hz,1,CTRV,51.7281966026969,3.2939958447759228
VL_C_F_BU_3,VL_C,F,BU,3,full,1,CTRV,53.46467784325849,22.574484857267358
VL_C_F_BU_3,VL_C,F,BU,3,10hz,1,CTRV,45.082456671466886,5.97351769634802
VL_C_F_BU_2,VL_C,F,BU,2,full,1,CTRV,54.47349078860592,20.029898818413635
VL_C_F_BU_2,VL_C,F,BU,2,10hz,1,CTRV,51.22129520083114,8.05051599117204
HL_C_F_RL_4,HL_C,F,RL,4,full,1,CTRV,90.22507864681398,27.43720788887559
HL_C_F_RL_4,HL_C,F,RL,4,10hz,1,CTRV,86.21824860662723,10.170502456653969
HL_C_A_RL_2,HL_C,A,RL,2,full,1,CTRV,108.48401939760896,16.631773352986446
HL_C_A_RL_2,HL_C,A,RL,2,10hz,1,CTRV,102.98855305115414,5.61083112611009
HL_C_F_RL_3,HL_C,F,RL,3,full,1,CTRV,75.76037051151258,12.418035798635673
HL_C_F_RL_3,HL_C,F,RL,3,10hz,1,CTRV,70.27544393775254,5.48887442357054
HL_C_F_RL_1,HL_C,F,RL,1,full,1,CTRV,82.85544940104461,25.311308710842223
HL_C_F_RL_1,HL_C,F,RL,1,10hz,1,CTRV,79.95204454923876,8.216908641130225
HL_C_A_LR_1,HL_C,A,LR,1,full,1,CTRV,84.29373603516149,22.0533871242052
HL_C_A_LR_1,HL_C,A,LR,1,10hz,1,CTRV,64.73961423836268,5.254418583380528
HL_C_A_RL_3,HL_C,A,RL,3,full,1,CTRV,118.8212094012086,22.686769802571856
HL_C_A_RL_3,HL_C,A,RL,3,10hz,1,CTRV,119.1720823604093,7.520012380742776
HL_C_F_LR_1,HL_C,F,LR,1,full,1,CTRV,78.92232753691259,22.06735720295163
HL_C_F_LR_1,HL_C,F,LR,1,10hz,1,CTRV,73.48412394574956,11.67321540472006
HL_C_F_LR_3,HL_C,F,LR,3,full,1,CTRV,80.01588687426114,20.89877937527972
HL_C_F_LR_3,HL_C,F,LR,3,10hz,1,CTRV,72.27293873100693,5.288434515113689
HL_C_F_LR_4,HL_C,F,LR,4,full,1,CTRV,86.43352807045588,26.772001568088328
HL_C_F_LR_4,HL_C,F,LR,4,10hz,1,CTRV,80.46019485793116,9.874618191097206
HL_C_A_LR_3,HL_C,A,LR,3,full,1,CTRV,76.85833695837088,23.11507160310609
HL_C_A_LR_3,HL_C,A,LR,3,10hz,1,CTRV,65.01075083387464,6.923811925604818
HL_C_A_LR_2,HL_C,A,LR,2,full,1,CTRV,80.35294369191237,14.798959649746216
HL_C_A_LR_2,HL_C,A,LR,2,10hz,1,CTRV,68.47040002894308,5.469861497589206
HL_C_F_RL_6,HL_C,F,RL,6,full,1,CTRV,88.60901387381558,27.132977107065464
HL_C_F_RL_6,HL_C,F,RL,6,10hz,1,CTRV,88.95891792540505,10.130150928294013
HL_C_A_RL_1,HL_C,A,RL,1,full,1,CTRV,89.04388058271073,12.918360489913027
HL_C_A_RL_1,HL_C,A,RL,1,10hz,1,CTRV,89.77801106310032,7.40553698526547
HL_C_F_RL_5,HL_C,F,RL,5,full,1,CTRV,83.83017689100768,20.76390409646278
HL_C_F_RL_5,HL_C,F,RL,5,10hz,1,CTRV,78.40203052478695,7.355795979649926
