Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
ET_C_A_DIR_116,ET_C,A,DIR,116,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_352,ET_C,A,DIR,352,2.5,12,CTRV,6.0,6,1.8709356504159669,1.7300717496504563,5.020636776948573,0.3869597031401464
ET_C_A_DIR_24,ET_C,A,DIR,24,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_207,ET_C,A,DIR,207,2.5,12,CTRV,6.0,6,1.5107712493428012,1.3864126143774085,3.7002020992816975,0.2738258299135927
ET_C_A_DIR_113,ET_C,A,DIR,113,2.5,12,CTRV,6.0,6,1.139189306815739,1.3813706630506752,2.8995134312492548,0.2917778937132623
ET_C_A_DIR_135,ET_C,A,DIR,135,2.5,12,CTRV,6.0,6,2.1210221242898726,2.144059663321684,5.419250301197156,0.4652596655352904
ET_C_A_DIR_276,ET_C,A,DIR,276,2.5,12,CTRV,6.0,6,1.2416690341666703,1.5671079777735166,3.5527369276678624,0.311508964293978
ET_C_A_DIR_138,ET_C,A,DIR,138,2.5,12,CTRV,6.0,6,2.525729003701067,2.641470427245582,5.984518272444097,0.5029848159720905
ET_C_A_DIR_259,ET_C,A,DIR,259,2.5,12,CTRV,6.0,6,2.175570564729692,3.8497059818662698,5.5157706591695,0.6270524622282113
ET_C_A_DIR_148,ET_C,A,DIR,148,2.5,12,CTRV,6.0,6,2.951526851154496,2.6896193683481218,8.877815963004084,0.667182966724331
ET_C_A_DIR_209,ET_C,A,DIR,209,2.5,12,CTRV,6.0,6,4.954279750299227,3.8838070804408495,12.494040133687928,0.8221702524163836
ET_C_A_DIR_350,ET_C,A,DIR,350,2.5,12,CTRV,6.0,6,1.552379753262787,1.8244914945717563,3.573661094583438,0.3307922992123394
ET_C_A_DIR_326,ET_C,A,DIR,326,2.5,12,CTRV,6.0,6,2.9964201379620325,3.2956371602908403,7.69437344294499,0.7265120638064628
ET_C_A_DIR_206,ET_C,A,DIR,206,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_318,ET_C,A,DIR,318,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_314,ET_C,A,DIR,314,2.5,12,CTRV,6.0,6,1.6127142071388834,1.8934091879886468,3.5251916157054963,0.3306293856168169
ET_C_A_DIR_54,ET_C,A,DIR,54,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_266,ET_C,A,DIR,266,2.5,12,CTRV,6.0,6,1.916575895347792,2.206190911266509,5.027395530392036,0.4549284793984418
ET_C_A_DIR_193,ET_C,A,DIR,193,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_364,ET_C,A,DIR,364,2.5,12,CTRV,6.0,6,4.751772840568264,4.984822427907014,11.33372139405919,0.8974875105243368
ET_C_A_DIR_232,ET_C,A,DIR,232,2.5,12,CTRV,6.0,6,0.4861091650886777,0.4609431738234201,0.9317302526797498,0.0710180724642512
ET_C_A_DIR_187,ET_C,A,DIR,187,2.5,12,CTRV,6.0,6,1.5182418999801073,1.6802377981398544,3.759659870254253,0.3290061111351752
ET_C_A_DIR_338,ET_C,A,DIR,338,2.5,12,CTRV,6.0,6,2.263004432518465,2.26433626311386,5.508311539480729,0.4631433779031075
ET_C_A_DIR_127,ET_C,A,DIR,127,2.5,12,CTRV,6.0,6,1.269810408916158,1.4084750379828403,3.6058646553497273,0.3221109355099027
ET_C_A_DIR_321,ET_C,A,DIR,321,2.5,12,CTRV,6.0,6,0.8741316191342094,1.053821442651893,2.0881860360036426,0.2082117791069101
ET_C_A_DIR_84,ET_C,A,DIR,84,2.5,12,CTRV,6.0,6,0.9699897481441724,1.0929936983139517,1.8546951274946009,0.1734197802796769
ET_C_A_DIR_58,ET_C,A,DIR,58,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_104,ET_C,A,DIR,104,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_307,ET_C,A,DIR,307,2.5,12,CTRV,6.0,6,2.965784911038096,2.9234737388299075,8.269733021009845,0.7234653631371473
ET_C_A_DIR_346,ET_C,A,DIR,346,2.5,12,CTRV,6.0,6,1.9133398404226227,1.7361654665654285,4.354266177068357,0.3269221935152397
ET_C_A_DIR_322,ET_C,A,DIR,322,2.5,12,CTRV,6.0,6,2.7023988001841266,3.067259814175752,6.226081650976324,0.5889553227930494
ET_C_A_DIR_296,ET_C,A,DIR,296,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_185,ET_C,A,DIR,185,2.5,12,CTRV,6.0,6,0.7701263305313534,0.6978655617549642,1.970092888463598,0.1502249897809077
ET_C_A_DIR_199,ET_C,A,DIR,199,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_94,ET_C,A,DIR,94,2.5,12,CTRV,6.0,6,1.2590330726043963,1.5152819162276363,2.97952021902574,0.2875433701338853
ET_C_A_DIR_327,ET_C,A,DIR,327,2.5,12,CTRV,6.0,6,1.837760251032147,2.024542689407617,4.167973036244893,0.3879390390881017
ET_C_A_DIR_147,ET_C,A,DIR,147,2.5,12,CTRV,6.0,6,1.7941695721758766,1.6064007951197563,4.381521150257402,0.3287093678841844
ET_C_A_DIR_340,ET_C,A,DIR,340,2.5,12,CTRV,6.0,6,0.9516190450562574,0.7774358753028093,1.8300642768388509,0.1236716816951581
ET_C_A_DIR_244,ET_C,A,DIR,244,2.5,12,CTRV,6.0,6,1.6320428448671245,1.3797480666316817,4.131792247183283,0.2983049266029821
ET_C_A_DIR_40,ET_C,A,DIR,40,2.5,12,CTRV,6.0,6,5.353799564628446,5.271359562211281,12.981910854872613,1.0499429990326254
ET_C_A_DIR_233,ET_C,A,DIR,233,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_112,ET_C,A,DIR,112,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_43,ET_C,A,DIR,43,2.5,12,CTRV,6.0,6,0.9593769683889896,0.9543145769715348,2.226017323875715,0.1919509665957464
ET_C_A_DIR_311,ET_C,A,DIR,311,2.5,12,CTRV,6.0,6,3.5494678251310376,5.627166904498037,8.424553666169988,0.7983265250413343
ET_C_A_DIR_49,ET_C,A,DIR,49,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_100,ET_C,A,DIR,100,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_240,ET_C,A,DIR,240,2.5,12,CTRV,6.0,6,1.106397547119622,1.301110666772301,2.5163583122871414,0.2423603500721664
ET_C_A_DIR_323,ET_C,A,DIR,323,2.5,12,CTRV,6.0,6,1.1708822870270887,1.472077278964616,2.714261833518769,0.2723119576307112
ET_C_A_DIR_239,ET_C,A,DIR,239,2.5,12,CTRV,6.0,6,0.9424755333621996,1.2891831970113163,1.9281168982737256,0.2104859165378768
ET_C_A_DIR_121,ET_C,A,DIR,121,2.5,12,CTRV,6.0,6,1.9863365863370448,2.2218697037670463,5.480522118170407,0.4951695494145733
ET_C_A_DIR_34,ET_C,A,DIR,34,2.5,12,CTRV,6.0,6,4.793295115688879,5.186182236447798,12.080316245164552,1.0966470366423435
ET_C_A_DIR_59,ET_C,A,DIR,59,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_220,ET_C,A,DIR,220,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_9,ET_C,A,DIR,9,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_273,ET_C,A,DIR,273,2.5,12,CTRV,6.0,6,6.216711945793941,6.333375996770829,14.141850387197769,1.209724072688947
ET_C_A_DIR_183,ET_C,A,DIR,183,2.5,12,CTRV,6.0,6,2.6883047337015515,2.589683248186732,6.053129059692531,0.438919518913346
ET_C_A_DIR_44,ET_C,A,DIR,44,2.5,12,CTRV,6.0,6,0.9603396075981876,0.9989699670017468,2.285360573328667,0.2012718955086493
ET_C_A_DIR_290,ET_C,A,DIR,290,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_325,ET_C,A,DIR,325,2.5,12,CTRV,6.0,6,0.9710920624237404,1.0570243722694876,1.994517186900112,0.1841967630133672
ET_C_A_DIR_339,ET_C,A,DIR,339,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_324,ET_C,A,DIR,324,2.5,12,CTRV,6.0,6,3.506307487012828,4.414850088153534,8.426377316958646,0.7865763431813169
ET_C_A_DIR_106,ET_C,A,DIR,106,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_101,ET_C,A,DIR,101,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_194,ET_C,A,DIR,194,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_98,ET_C,A,DIR,98,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_329,ET_C,A,DIR,329,2.5,12,CTRV,6.0,6,1.74059019819599,1.9322742635417545,3.994048672302793,0.3764490018002654
ET_C_A_DIR_119,ET_C,A,DIR,119,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_122,ET_C,A,DIR,122,2.5,12,CTRV,6.0,6,1.9026821916609045,2.171093466556943,5.478091981204139,0.5084925243525059
ET_C_A_DIR_304,ET_C,A,DIR,304,2.5,12,CTRV,6.0,6,3.3482132642940323,4.337346564699396,7.68982690441359,0.7933046923904016
ET_C_A_DIR_76,ET_C,A,DIR,76,2.5,12,CTRV,6.0,6,3.165849244871513,3.213274150269338,8.33856370958138,0.7186797906349913
ET_C_A_DIR_256,ET_C,A,DIR,256,2.5,12,CTRV,6.0,6,2.689277002811265,3.3062678285247045,7.447574972711044,0.7046080134655582
ET_C_A_DIR_173,ET_C,A,DIR,173,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_303,ET_C,A,DIR,303,2.5,12,CTRV,6.0,6,2.120802261383939,2.549597982727047,4.991116439618006,0.5222133879463112
ET_C_A_DIR_300,ET_C,A,DIR,300,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_64,ET_C,A,DIR,64,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_201,ET_C,A,DIR,201,2.5,12,CTRV,6.0,6,0.9125139351459396,0.7703325198886217,1.5384582777021587,0.1100644481139525
ET_C_A_DIR_25,ET_C,A,DIR,25,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_222,ET_C,A,DIR,222,2.5,12,CTRV,6.0,6,1.6997328046744211,1.2117770078101866,5.199932385624029,0.3218937879367198
ET_C_A_DIR_267,ET_C,A,DIR,267,2.5,12,CTRV,6.0,6,1.9598048903101533,5.300289938611411,4.95067923873228,0.6378002965397785
