Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
DL_C_A_TLBR_3,DL_C,A,TLBR,3,full,8,CV,,8,24.85005611951009,3.2024048972135617,50.65198219577255,0.7484463483398663
DL_C_A_TLBR_3,DL_C,A,TLBR,3,10hz,8,CV,,8,36.79773378970974,2.4701698993715815,76.53241888171085,0.6332621035976925
DL_C_A_TLBR_1,DL_C,A,TLBR,1,full,8,CV,,8,20.53353652451769,2.720121661503218,40.679373923953634,0.6600261749980048
DL_C_A_TLBR_1,DL_C,A,TLBR,1,10hz,8,CV,,8,48.831651344566055,3.693777525891646,98.5715673891462,0.8885583223992161
DL_C_F_TLBR_2,DL_C,F,TLBR,2,full,8,CV,,8,4.343272598285855,0.8265740743615722,8.44742566933188,0.5692221415411582
DL_C_F_TLBR_2,DL_C,F,TLBR,2,10hz,8,CV,,8,18.09735020329347,1.3682804752757003,35.14049037781471,3.0101950044317722
DL_C_F_TLBR_4,DL_C,F,TLBR,4,full,8,CV,,8,15.615682441934746,3.2948450469086508,31.137480153396872,0.6607113254593752
DL_C_F_TLBR_4,DL_C,F,TLBR,4,10hz,8,CV,,8,40.23854644591405,3.8068579811651087,81.47467226772832,0.898940230163262
DL_C_A_TLBR_2,DL_C,A,TLBR,2,full,8,CV,,8,28.923916415867097,2.9887127794206325,58.891835536413474,0.7097227413599071
DL_C_A_TLBR_2,DL_C,A,TLBR,2,10hz,8,CV,,8,47.07354907333144,3.0196707774368403,100.65374367053413,0.8033359860723149
DL_C_A_BRTL_1,DL_C,A,BRTL,1,full,8,CV,,8,14.142425767525566,1.6616758456765892,30.951792673567724,0.9465376341862316
DL_C_A_BRTL_1,DL_C,A,BRTL,1,10hz,8,CV,,8,35.01209476349451,2.331399506505375,72.4886957787615,0.8792547530410514
DL_C_A_BRTL_3,DL_C,A,BRTL,3,full,8,CV,,8,11.335438994661342,1.5786392246579686,25.59741408367996,0.47945039636900033
DL_C_A_BRTL_3,DL_C,A,BRTL,3,10hz,8,CV,,8,26.43499852764056,1.565045976904437,71.08849473424758,0.7511556591901261
DL_C_F_BRTL_6,DL_C,F,BRTL,6,full,8,CV,,8,3.7584685483737985,1.0321099807116525,7.330802674095339,0.2957120600156171
DL_C_F_BRTL_6,DL_C,F,BRTL,6,10hz,8,CV,,8,13.020365202924076,1.5182999383964775,29.30972945613551,0.5313835129827376
DL_C_F_BRTL_4,DL_C,F,BRTL,4,full,8,CV,,8,4.790796296698766,1.0447469100199038,10.196718348954006,0.3225116924625773
