Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Avg. Lin. Vel.,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
IL_C_A_RCW_1,IL_C,A,RCW,1,2.5hz,1,CV,True,33.79387290920516,0.8752286162877868,33.79387290920516,0.8752286162877868
IL_C_A_RCW_1,IL_C,A,RCW,1,10hz,1,CV,True,15.58913563739701,1.3205962604504187,15.58913563739701,1.3205962604504187
IL_C_A_RCW_4,IL_C,A,RCW,4,full,1,CV,True,4.579781407731158,1.2262667802843021,4.579781407731158,1.2262667802843021
IL_C_A_RCW_4,IL_C,A,RCW,4,2.5hz,1,CV,True,30.562307648870057,0.8925977741426376,30.562307648870057,0.8925977741426376
IL_C_A_RCW_4,IL_C,A,RCW,4,10hz,1,CV,True,9.806689385284965,1.6660184288024753,9.806689385284965,1.6660184288024753
IL_C_F_RCCW_2,IL_C,F,RCCW,2,full,1,CV,True,3.5340969786375855,1.6730403468190906,3.5340969786375855,1.6730403468190906
IL_C_F_RCCW_2,IL_C,F,RCCW,2,2.5hz,1,CV,True,23.87088978408165,0.9919544958827445,23.87088978408165,0.9919544958827445
IL_C_F_RCCW_2,IL_C,F,RCCW,2,10hz,1,CV,True,7.792126388042958,1.4792250820726525,7.792126388042958,1.4792250820726525
IL_C_F_RCW_5,IL_C,F,RCW,5,full,1,CV,True,4.2803936991536,1.4754418624664325,4.2803936991536,1.4754418624664325
IL_C_F_RCW_5,IL_C,F,RCW,5,2.5hz,1,CV,True,28.367422887152095,0.8235812518732976,28.367422887152095,0.8235812518732976
IL_C_F_RCW_5,IL_C,F,RCW,5,10hz,1,CV,True,8.761827575797385,1.8642313481780985,8.761827575797385,1.8642313481780985
SP_C_A_CCW_4,SP_C,A,CCW,4,full,1,CV,True,4.608393401270084,1.285336831415625,4.608393401270084,1.285336831415625
SP_C_A_CCW_4,SP_C,A,CCW,4,2.5hz,1,CV,True,25.588088348181095,0.746138739827154,25.588088348181095,0.746138739827154
SP_C_A_CCW_4,SP_C,A,CCW,4,10hz,1,CV,True,10.195778410193114,1.9470561998582843,10.195778410193114,1.9470561998582843
SP_C_A_CW_4,SP_C,A,CW,4,full,1,CV,True,4.056153447536943,1.3374605365800083,4.056153447536943,1.3374605365800083
SP_C_A_CW_4,SP_C,A,CW,4,2.5hz,1,CV,True,17.309202449189225,1.0271101087841996,17.309202449189225,1.0271101087841996
SP_C_A_CW_4,SP_C,A,CW,4,10hz,1,CV,True,8.43689173274914,1.741672004427183,8.43689173274914,1.741672004427183
SP_C_A_CCW_1,SP_C,A,CCW,1,full,1,CV,True,3.874601679264282,1.5481351147752385,3.874601679264282,1.5481351147752385
SP_C_A_CCW_1,SP_C,A,CCW,1,2.5hz,1,CV,True,19.544577581855627,0.6397739623183982,19.544577581855627,0.6397739623183982
SP_C_A_CCW_1,SP_C,A,CCW,1,10hz,1,CV,True,8.895853638199153,1.7117871045047133,8.895853638199153,1.7117871045047133
SP_C_F_CW_2,SP_C,F,CW,2,full,1,CV,True,3.6247874139166,1.4213365602226236,3.6247874139166,1.4213365602226236
SP_C_F_CW_2,SP_C,F,CW,2,2.5hz,1,CV,True,20.323166416010103,0.6641362679197619,20.323166416010103,0.6641362679197619
SP_C_F_CW_2,SP_C,F,CW,2,10hz,1,CV,True,8.479112017106178,2.2605818161637643,8.479112017106178,2.2605818161637643
SP_C_F_CCW_2,SP_C,F,CCW,2,full,1,CV,True,6.821979844267775,1.5772500450415736,6.821979844267775,1.5772500450415736
SP_C_F_CCW_2,SP_C,F,CCW,2,2.5hz,1,CV,True,31.96840854627658,0.7056569643514514,31.96840854627658,0.7056569643514514
SP_C_F_CCW_2,SP_C,F,CCW,2,10hz,1,CV,True,12.544705389725436,1.6386997928653348,12.544705389725436,1.6386997928653348
SP_C_A_CW_2,SP_C,A,CW,2,full,1,CV,True,4.658850102427047,1.4113376470805774,4.658850102427047,1.4113376470805774
SP_C_A_CW_2,SP_C,A,CW,2,2.5hz,1,CV,True,25.17816040795766,2.0360825944805576,25.17816040795766,2.0360825944805576
SP_C_A_CW_2,SP_C,A,CW,2,10hz,1,CV,True,8.662245425092902,1.2925338101449293,8.662245425092902,1.2925338101449293
SP_C_F_CW_3,SP_C,F,CW,3,full,1,CV,True,4.686389995239604,1.3386007754568554,4.686389995239604,1.3386007754568554
SP_C_F_CW_3,SP_C,F,CW,3,2.5hz,1,CV,True,21.839118853605154,0.678387715808922,21.839118853605154,0.678387715808922
SP_C_F_CW_3,SP_C,F,CW,3,10hz,1,CV,True,11.132530780247572,1.7318686517260342,11.132530780247572,1.7318686517260342
SP_C_A_CW_1,SP_C,A,CW,1,full,1,CV,True,3.644508073973782,1.373941865887455,3.644508073973782,1.373941865887455
SP_C_A_CW_1,SP_C,A,CW,1,2.5hz,1,CV,True,25.503978496124027,1.019936303439758,25.503978496124027,1.019936303439758
SP_C_A_CW_1,SP_C,A,CW,1,10hz,1,CV,True,7.959517112423445,1.4623867348225255,7.959517112423445,1.4623867348225255
SP_C_A_CCW_2,SP_C,A,CCW,2,full,1,CV,True,7.139598146131582,1.3466494802305158,7.139598146131582,1.3466494802305158
SP_C_A_CCW_2,SP_C,A,CCW,2,2.5hz,1,CV,True,44.82637836951144,1.2704691252123055,44.82637836951144,1.2704691252123055
